SONYA LLOYD:75
MARIA HERRERA:59
BILLE FULLER:54
CHUN MEI LIU:53
CHLOE JONES:52
AVALON LEWIS:50
IRYNA NADIEDIEVA:45
LUNA HIRANO:44
PAOLA RAMOS:43
RAFAELA PEIXOTO:42
DENISE DAL ZOTTO:42
BEATRICE BARBERA:42
NATALIA RIVERA:42
ANDREA SIBAJA:41
JESSICA HOWDEN:39
LUCIE BOUDESSEUL:37
ADELA OUREDNICKOVA:37
ROBERTA PONZIANI:35
SARA VARON:33
BEATRIZ NEILA:33
ASTRID MADRIGAL:31
LUCY MICHEL:30
SARA SANCHEZ:29
ANA CARRASCO:25
EMILY BONDI:24
IRENE BRAMATO:20
JAMIE HANKS-ELLIOT:11
ISIS CARRENO:11
MADALENA SIMOES:11
PAKITA RUIZ:8
TAYLA RELPH:2
MALLORY DOBBS:0
